first_name;last_name;birth_date;join_date;driver_license;driver_status
Jono;Kadir;18/09/1975;20/03/2020;SIM B2;Aktif
Muda;Haman;25/12/1970;05/01/2020;SIM B1;Aktif
Jajat;Manjadat;19/07/1977;05/01/2020;SIM B1;Aktif
Nunik;Mansur;10/05/1975;12/12/2020;SIM B1;Aktif
Joman;Manuru;19/11/1970;12/12/2020;SIM B2;Aktif
Rudi;Isak;19/03/1966;10/01/2021;SIM B2;Aktif
Maran;Nugi;21/02/1980;07/02/2021;SIM B1;Aktif
Koes;Hamsat;08/09/1982;07/02/2021;SIM B2;Aktif
Munir;Muasir;07/08/1977;12/03/2021;SIM B2;Aktif
Titik;Surman;10/02/1990;12/03/2021;SIM B1;Aktif
Hilman;Tono;20/06/1966;12/03/2021;SIM B2;Aktif
Sayuki;Almalik;09/01/1970;01/05/2021;SIM B1;Aktif
Aman;Tatang;12/09/1982;01/05/2021;SIM B1;Aktif
Asep;Surasep;21/08/1977;01/05/2021;SIM B2;Aktif
Mudin;Kamar;10/12/1990;01/05/2021;SIM B1;Aktif
